Id;Nom;Orientation;Alpi;Ski;Deniv.plus;Depart.id;Depart.altitude;Sommet.id;Sommet.nom;Sommet.longitude;Sommet.latitude;Sommet.altitude;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12;S1999-2000;S2000-2001;S2001-2002;S2002-2003;S2003-2004;S2004-2005;S2005-2006;S2006-2007;S2007-2008;S2008-2009;S2009-2010;S2010-2011;S2011-2012;S2012-2013;S2013-2014;S2014-2015;S2015-2016;S2016-2017;S2017-2018;S2018-2019;S2019-2020;S2020-2021
732;dome-de-chasseforet;T;PD;3.1;1269;54;1644;569;Dôme de Chasseforêt;6,7608;45,3306;3586;1;4;13;18;9;3;0;0;0;0;0;2;0;0;0;0;1;1;0;4;2;2;3;4;5;0;6;7;1;6;5;2;1;0
746;dome-des-platieres;NW;PD+;4.3;1900;355;1556;580;Dôme des Platières;6,8639;45,5072;3473;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
753;pointe-du-bouchet;NE;PD-;4.2;1200;358;2300;585;Pointe du Bouchet;6,6042;45,2538;3420;0;0;0;1;4;7;0;0;0;2;2;0;0;0;0;0;0;1;0;1;0;2;2;1;1;2;0;0;0;1;2;0;1;2
1277;mont-jovet;NW;R;2.2;1288;641;1270;948;Mont Jovet;6,6413;45,4951;2558;50;45;36;12;0;0;0;0;0;0;7;38;0;0;0;0;0;0;2;7;7;10;15;6;6;19;22;8;24;14;20;10;10;8
1304;roc-de-burel;S;PD;4.1;1385;57;1690;1032;Roc de Burel;6,9175;45,3199;3075;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0
1439;col-du-genepy;NW;F;2.3;1458;357;1710;1144;Col du Génépy;6,71411;45,3078;2901;3;2;4;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;1;1;0;1;1;0;0;0;1;4;1;0
1454;breche-des-platieres;NW;AD-;4.3;1550;355;1556;1153;Brèche des Platières;6,8577;45,5021;3100;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1458;pointe-du-borgne;N;F;3.2;800;358;2300;1157;Pointe du Borgne;6,6055;45,3011;3078;1;1;3;5;0;0;0;0;0;0;2;2;0;0;0;0;0;0;3;0;0;0;2;1;2;0;0;1;1;2;0;1;1;0
1464;col-de-la-grande-pierre;N;F;2.3;1000;699;1410;1162;Col de la Grande Pierre;6,6835;45,3866;2403;2;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;3;1;2;0;0;1;0;2
1498;col-de-chaviere;SW;R;3.1;1570;59;1209;1190;Col de Chavière;6,65741;45,2708;2796;1;5;7;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;0;2;2;5;3;0;1;1;0;0;2;2;0;1
1539;roc-du-blanchon;NW;F;3.1;1300;357;1710;1222;Roc du Blanchon;6,7163;45,3288;2747;4;6;8;11;2;0;0;0;0;0;0;5;0;0;0;0;0;0;1;1;3;2;4;1;1;5;5;4;1;5;0;3;0;0
1555;mont-turia;T;PD-;5.1;1600;52;2150;594;Mont Turia;6,8606;45,5327;3650;0;0;1;9;37;22;0;0;0;0;0;1;0;0;0;0;0;1;3;2;4;9;5;7;6;6;6;1;7;4;3;3;3;0
1583;aiguille-des-saints-peres;W;PD;5.1;1100;358;2300;1250;Aiguille des Saints Pères;6,6147;45,276;3360;0;0;0;5;23;8;0;0;0;4;15;4;0;0;0;0;0;0;2;1;1;2;2;1;6;7;8;5;3;7;1;1;8;4
1595;pointe-mathews;NW;PD+;4.3;2150;54;1644;1263;Pointe Mathews;6,82285;45,4006;3783;0;1;2;6;3;1;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0;4;0;1;2;0;1;3;2;0;0;1;0
1598;signal-de-mean-martin;E;PD-;3.2;1740;685;1800;1266;Signal de Méan Martin;6,99801;45,3667;3315;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
1655;col-du-borgne;NW;F;2.3;1360;55;1681;1319;Col du Borgne;6,6119;45,3078;3042;5;2;6;3;4;0;0;0;0;0;2;11;0;0;0;0;0;0;0;2;1;2;3;2;2;2;3;4;3;5;1;1;1;1
1740;pointe-de-la-masse;T;R;2.1;1500;783;1325;1305;Pointe de la Masse;6,5093;45,2971;2804;3;1;2;2;0;0;0;0;0;1;1;12;0;0;0;0;0;1;0;2;1;0;0;5;0;2;1;1;4;1;1;1;1;1
1747;sommet-de-bellecote;S;F;3.2;1940;310;1475;1401;Sommet de Bellecôte;6,7822;45,4925;3417;0;2;2;3;4;1;0;0;0;0;1;2;0;0;0;0;0;0;1;2;0;0;0;2;2;1;1;0;2;1;0;2;1;0
1857;pointes-du-chatelard;S;F;3.3;1800;57;1690;518;Pointes du Châtelard;6,955;45,3316;3479;3;7;9;9;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;4;2;3;7;2;3;3;0;2;1;0;0;2;0
1887;dome-des-picheres;SE;F;2.1;1850;310;1475;1508;Dôme des Pichères;6,79852;45,492;3319;1;1;7;13;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;5;3;2;1;2;5;1;2;3;1;1;1;0
1922;dome-des-sonnailles;W;PD;3.3;1650;357;1710;1150;Dôme des Sonnailles;6,7456;45,346;3361;0;2;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;1;0;0;1;1;3;1;0;0;0
1957;col-du-moine;T;PD-;2.3;2300;46;1530;773;Col du Moine;6,7392;45,2911;3330;7;7;12;14;3;0;0;0;0;0;0;3;0;0;0;0;0;0;1;3;2;4;8;5;4;3;4;3;1;3;1;3;1;0
2064;rocher-des-dents;SE;PD-;4.1;1430;970;1935;1619;Rocher des Dents;6,6112;45,2441;3368;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0
2097;pointe-de-l-observatoire;T;R;2.2;690;46;1530;1638;Pointe de l'Observatoire;6,68509;45,2907;3015;1;1;3;10;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;1;4;1;1;1;1;2;1;1;1;3;1;0
2150;passage-de-rosoire;T;PD+;3.3;2048;46;1530;1270;Passage de Rosoire;6,733;45,3014;3479;0;2;1;18;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;3;2;2;3;1;0;3;2;4;2;1;0;0
2154;pointe-du-dard;NW;PD-;4.1;1600;54;1644;1136;Pointe du Dard;6,7658;45,364;3206;3;2;5;19;9;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;5;2;0;3;4;2;1;1;7;3;3;1;0
2172;pointes-de-la-partie;SW;AD;5.1;1350;970;1935;1689;Pointes de la Partie;6,68028;45,2692;3299;1;1;1;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;4;4;0;2;1;1;4;1;0;1;0
2183;pointe-de-mean-martin;N;F;3.1;1445;317;1885;1698;Pointe de Méan Martin;6,98995;45,3672;3330;0;2;3;18;16;23;16;0;0;0;2;2;0;0;0;0;0;0;0;4;4;9;7;7;4;12;11;4;7;6;2;3;2;0
2244;dome-des-nants;W;PD-;5.1;1850;357;1710;584;Dôme des Nants;6,7415;45,3262;3570;1;3;10;19;18;1;0;0;0;0;1;1;0;0;0;0;0;3;3;4;4;4;2;4;6;4;4;3;2;4;3;2;2;0
2248;col-de-la-platta;N;R;1.1;810;1015;1595;1745;Col de la Platta;6,65306;45,3722;2408;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2280;sommet-de-la-viselle;N;R;1.3;900;1032;1750;1766;Sommet de la Viselle;6,61556;45,3822;2659;5;4;2;0;1;0;0;0;0;1;11;7;0;0;0;0;0;0;0;0;2;0;2;3;1;0;4;7;3;5;0;1;2;1
